WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 209-962-906
INFO:werkzeug: * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO:werkzeug: * Detected change in 'F:\\Repos\\Sheriff_Sale\\flask_app\\scrapers\\sheriff_sale.py', reloading
2020-03-17 15:59:01,416:ERROR:25 BEDFORD ROAD SUMMIT NJ 07901
2020-03-17 15:59:01,416:ERROR:6 GIBSON PLACE ELIZABETH NJ 07208-1601
2020-03-17 15:59:01,416:ERROR:2611 FREDERICK TERRACE UNION NJ 07083
2020-03-17 15:59:01,416:ERROR:1070 VOORHEES STREET HILLSIDE NJ 07205-2620
2020-03-17 15:59:01,416:ERROR:412 PINE STREET ROSELLE NJ 07203
2020-03-17 15:59:01,416:ERROR:892 WEST CHESTNUT STREET UNION NJ 07083
2020-03-17 15:59:01,416:ERROR:624 LOCUST STREET ROSELLE NJ 07203
2020-03-17 15:59:01,417:ERROR:334-40 HILLCREST AVENUE PLAINFIELD NJ 07060
2020-03-17 15:59:01,417:ERROR:161 BURKLEY PLACE A/K/A 161 BURKLEY PLACE, UNION VAUXHALL (UNION TOWNSHIP) NJ
2020-03-17 15:59:01,417:ERROR:52-54 SANDFORD AVENUE PLAINFIELD NJ 07060
2020-03-17 15:59:01,417:ERROR:1448 VALLEY ROAD RAHWAY NJ 07065
2020-03-17 15:59:01,417:ERROR:1824 MYRTLE AVENUE PLAINFIELD NJ 07063
2020-03-17 15:59:01,417:ERROR:545 LEXINGTON AVENUE CRANFORD NJ 07016
2020-03-17 15:59:01,417:ERROR:1608 VAN NESS TERRACE UNION NJ 07083
2020-03-17 15:59:01,417:ERROR:968 LORRAINE AVENUE UNION NJ 07083
2020-03-17 15:59:01,417:ERROR:162 JACQUES STREET ELIZABETH NJ 07201
2020-03-17 15:59:01,417:ERROR:418-422 JERSEY AVENUE MAILING ADDRESS: 420 JERSEY AVE, ELIZABETH NJ 07202 ELIZABETH NJ 07202
